Date, open, high,low,close,volume
22-02-2007,165.4176,167.7031,160.3721,162.6576,1250983
21-02-2007,165.989,168.8943,165.2821,166.357,533956
20-02-2007,168.1196,168.6812,164.6332,165.7469,782516
19-02-2007,170.4438,171.0249,167.1511,168.1002,663619
15-02-2007,167.3448,172.187,166.9768,168.4295,1218379
14-02-2007,166.1827,167.7322,161.5439,164.7397,2132953
13-02-2007,168.5069,175.0632,164.6623,167.6063,1447924
12-02-2007,176.0607,176.0607,167.1511,169.3301,2077489
09-02-2007,173.3491,176.6417,172.9617,175.4118,1310137
08-02-2007,176.4481,176.4481,172.7971,173.4556,626590
07-02-2007,178.3268,179.1597,173.9398,174.7146,738438
06-02-2007,178.966,179.5277,176.0607,178.3268,968322
05-02-2007,176.6417,178.6464,173.4459,178.0169,986434
02-02-2007,176.4481,178.5786,175.1891,176.2737,1224490
01-02-2007,171.4122,176.1478,170.6375,175.4118,1000497
31-01-2007,174.6952,176.0607,168.536,170.008,1402954
29-01-2007,179.5374,179.5374,173.7558,174.2304,795916
25-01-2007,178.966,180.5155,177.2228,179.547,828786
24-01-2007,184.9703,184.9703,175.867,177.4552,2968544
23-01-2007,187.6819,187.8174,183.0334,184.0115,1307209
22-01-2007,185.9387,187.6431,182.5492,186.7909,998833
19-01-2007,185.8903,186.9846,180.1281,184.0212,1419245
18-01-2007,187.4301,188.3985,182.065,184.5345,1049794
17-01-2007,187.2945,188.8052,185.9387,186.82,1392966
16-01-2007,184.3892,186.7134,183.2658,185.5319,1364135
15-01-2007,183.0334,184.3505,180.9028,183.3723,1637357
12-01-2007,179.3727,183.014,177.2325,182.2102,2400028
11-01-2007,176.0607,178.5011,174.8986,177.7845,1598663
10-01-2007,176.0607,177.8039,173.1845,175.8573,1811776
09-01-2007,180.5155,181.0772,174.7049,176.3609,1365174
08-01-2007,180.4767,182.4523,174.5112,179.6729,1872501
05-01-2007,183.4208,184.854,179.8666,180.7188,1166448
04-01-2007,183.2271,185.5223,182.462,183.4401,1871817
03-01-2007,181.8713,185.8322,181.2902,181.91,2821682
02-01-2007,174.4918,181.0578,172.9908,180.1087,1364913
29-12-2006,176.4965,177.0291,172.3903,174.3659,1197105
28-12-2006,175.2859,179.1597,174.5112,175.3537,2033488
27-12-2006,171.4122,176.971,170.2501,175.6443,2052587
26-12-2006,166.3764,172.768,165.4273,171.296,1763528
22-12-2006,167.3448,168.1196,164.1199,166.4248,755105
21-12-2006,162.8029,168.5069,162.1153,167.5482,1446583
20-12-2006,167.5579,170.5213,160.5949,161.9119,2853978
19-12-2006,170.8312,172.768,164.2555,167.1221,1971251
18-12-2006,166.6766,172.3807,160.7595,172.1482,1805968
15-12-2006,167.1511,167.9065,165.253,166.144,886594
14-12-2006,165.2143,166.7444,161.9216,165.2821,1273213
13-12-2006,159.21,165.6016,155.346,163.1612,1397845
12-12-2006,162.6382,164.9818,146.4751,158.9195,2727785
11-12-2006,168.3326,168.3326,157.922,162.6382,1857295
08-12-2006,172.768,173.7365,166.7831,167.8871,1572212
07-12-2006,170.0564,173.5428,168.9427,172.8068,1000680
06-12-2006,171.6059,171.9933,167.0737,170.56,1266058
05-12-2006,171.9933,172.768,169.0977,170.899,1576747
04-12-2006,164.6332,171.8383,164.6332,170.2985,3680473
01-12-2006,157.8542,164.2071,156.8858,163.258,3138377
30-11-2006,158.4353,158.9001,156.3047,156.7696,873997
29-11-2006,158.8226,159.0163,155.4331,156.8761,2131711
28-11-2006,158.8807,159.0938,156.4984,156.9923,1650334
27-11-2006,160.3915,161.6311,159.7911,160.4205,649368
24-11-2006,159.5974,160.7401,158.6289,159.8782,829417
23-11-2006,161.9216,163.2193,158.4546,159.3746,1744143
22-11-2006,160.3721,161.7279,157.951,161.2437,1358515
21-11-2006,157.3506,159.2003,155.9464,158.3384,686234
20-11-2006,155.898,156.6146,152.8184,155.4234,2060675
17-11-2006,159.1519,159.7523,156.0239,157.0117,3980417
16-11-2006,159.9847,161.1469,156.7405,157.6315,1294560
15-11-2006,161.1469,161.5342,158.8226,159.4908,1752586
14-11-2006,162.338,162.5995,158.6967,160.6142,1645711
